ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spending,Total_Purchases,Average_Order_Value,Family_Size,Is_Parent,Campaign_Acceptance,Customer_Tenure_Days,Customer_Lifetime_Value,Days_Since_Last_Purchase,Purchase_Frequency,Age_Group,Customer_Year,Customer_Month,Customer_YearMonth,Cluster,Segment_Label,Previous_Campaign_Acceptance,Predicted_Response,Response_Probability,Top_Recommended_Category,Recommendation_Score,Personalized_AOV_Uplift_Proxy
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,1617,22,73.5,1,0,1,663,1617,58,0.03313253012048193,61-70,2012,9,2012-09,1,High-Value Loyalists,0,1,0.8534406011802049,Wines,15.100000000000023,0.7550000000000012
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,27,4,6.75,3,1,0,113,27,38,0.03508771929824561,70+,2014,3,2014-03,0,Budget Browsers,0,0,0.1264564167886978,No strong recommendation,0.0,0.0
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,776,20,38.8,2,0,0,312,776,26,0.06389776357827476,61-70,2013,8,2013-08,1,High-Value Loyalists,0,0,0.2902197154761911,Meat Products,76.55000000000001,3.8275000000000006
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,53,6,8.833333333333334,3,1,0,139,53,26,0.04285714285714286,41-50,2014,2,2014-02,0,Budget Browsers,0,0,0.0921755670825818,No strong recommendation,0.0,0.0
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,422,14,30.142857142857142,3,1,0,161,422,94,0.08641975308641975,41-50,2014,1,2014-01,2,Family-Oriented Regular Customers,0,0,0.012336524640623394,Fruits,1.3500000000000014,0.06750000000000007
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,716,20,35.8,3,1,0,293,716,16,0.06802721088435375,51-60,2013,9,2013-09,2,Family-Oriented Regular Customers,0,0,0.1372973165970194,Wines,103.5,5.175000000000001
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,590,17,34.705882352941174,2,1,0,593,590,34,0.02861952861952862,51-60,2012,11,2012-11,2,Family-Oriented Regular Customers,0,0,0.46935447848644224,Meat Products,94.0,4.7
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,169,8,21.125,3,1,0,417,169,32,0.019138755980861243,41-50,2013,5,2013-05,0,Budget Browsers,0,1,0.5357982456573875,Sweet Products,1.2999999999999998,0.06499999999999999
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,46,5,9.2,3,1,1,388,46,19,0.012853470437017995,51-60,2013,6,2013-06,0,Budget Browsers,0,1,0.6127731373334518,Wines,1.3499999999999996,0.06749999999999999
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,49,1,49.0,4,1,1,108,49,68,0.009174311926605505,70+,2014,3,2014-03,0,Budget Browsers,1,1,0.7009986258097353,Meat Products,2.9000000000000004,0.14500000000000002
