ID,Segment_Label,Income,Age,Total_Spending,Total_Purchases,Average_Order_Value,Response_Probability,Top_Recommended_Category,Recommendation_Score,Personalized_AOV_Uplift_Proxy
5524,High-Value Loyalists,58138.0,69,1617,22,73.5,0.8534406011802049,Wines,15.100000000000023,0.7550000000000012
2174,Budget Browsers,46344.0,72,27,4,6.75,0.1264564167886978,No strong recommendation,0.0,0.0
4141,High-Value Loyalists,71613.0,61,776,20,38.8,0.2902197154761911,Meat Products,76.55000000000001,3.8275000000000006
6182,Budget Browsers,26646.0,42,53,6,8.833333333333334,0.0921755670825818,No strong recommendation,0.0,0.0
5324,Family-Oriented Regular Customers,58293.0,45,422,14,30.142857142857142,0.012336524640623394,Fruits,1.3500000000000014,0.06750000000000007
7446,Family-Oriented Regular Customers,62513.0,59,716,20,35.8,0.1372973165970194,Wines,103.5,5.175000000000001
965,Family-Oriented Regular Customers,55635.0,55,590,17,34.705882352941174,0.46935447848644224,Meat Products,94.0,4.7
6177,Budget Browsers,33454.0,41,169,8,21.125,0.5357982456573875,Sweet Products,1.2999999999999998,0.06499999999999999
4855,Budget Browsers,30351.0,52,46,5,9.2,0.6127731373334518,Wines,1.3499999999999996,0.06749999999999999
5899,Budget Browsers,5648.0,76,49,1,49.0,0.7009986258097353,Meat Products,2.9000000000000004,0.14500000000000002
1994,Budget Browsers,51381.5,43,19,3,6.333333333333333,0.25416334084985165,Wines,6.5,0.325
387,Budget Browsers,7500.0,50,61,5,12.2,0.1241564176356395,Meat Products,2.5999999999999996,0.12999999999999998
2125,High-Value Loyalists,63033.0,67,1102,15,73.46666666666667,0.11019568637605705,Wines,184.35000000000002,9.217500000000001
8180,Family-Oriented Regular Customers,59354.0,74,310,12,25.833333333333332,0.08758865619800625,Fish Products,0.5499999999999998,0.027499999999999993
2569,Budget Browsers,17323.0,39,46,4,11.5,0.5615616880398981,Wines,14.75,0.7375
2114,High-Value Loyalists,82800.0,80,1315,25,52.6,0.9953520166582291,Meat Products,80.6,4.03
9736,Budget Browsers,41850.0,46,96,6,16.0,0.3216729259686094,No strong recommendation,0.0,0.0
4939,Budget Browsers,37760.0,80,317,11,28.818181818181817,0.6308995527612554,Wines,193.89999999999998,9.695
6565,Family-Oriented Regular Customers,76995.0,77,1782,24,74.25,0.16471451011162705,Fish Products,32.6,1.6300000000000001
2278,Budget Browsers,33812.0,41,133,6,22.166666666666668,0.21880310194845864,Wines,17.4,0.87
9360,Budget Browsers,37040.0,44,316,11,28.727272727272727,0.5689983012173383,Wines,17.799999999999997,0.8899999999999999
5376,Family-Oriented Regular Customers,2447.0,47,1730,28,61.785714285714285,0.15929506889015652,Wines,250.75,12.537500000000001
1993,Family-Oriented Regular Customers,58607.0,77,972,14,69.42857142857143,0.6824326486734387,Gold Products,7.5,0.375
4047,Family-Oriented Regular Customers,65324.0,72,544,17,32.0,0.20011233313214863,Wines,32.0,1.6
1409,Family-Oriented Regular Customers,40689.0,75,444,13,34.15384615384615,0.07427466548704718,Meat Products,33.55,1.6775
7892,Budget Browsers,18589.0,57,75,6,12.5,0.23962717516884863,Wines,2.25,0.1125
2404,Budget Browsers,53359.0,50,257,10,25.7,0.4634943562161025,Meat Products,5.850000000000001,0.2925000000000001
5255,Family-Oriented Regular Customers,51381.5,40,637,27,23.59259259259259,0.25677516295415576,Wines,320.05,16.0025
9422,Budget Browsers,38360.0,37,131,7,18.714285714285715,0.19572406131058126,Fruits,1.65,0.0825
1966,High-Value Loyalists,84618.0,61,1672,25,66.88,0.23835074761656533,Wines,47.89999999999998,2.394999999999999
6864,Budget Browsers,10979.0,37,30,6,5.0,0.13719804885789044,Wines,0.40000000000000036,0.020000000000000018
